
Epoch [28/100] Loss_D: 0.0080, Loss_G: 5.7928

Epoch [28/100] Loss_D: 0.0064, Loss_G: 6.8231

Epoch [28/100] Loss_D: 0.0131, Loss_G: 6.1802

Epoch [28/100] Loss_D: 0.0433, Loss_G: 3.7769

Epoch [28/100] Loss_D: 0.0186, Loss_G: 5.4320

Epoch [29/100] Loss_D: 0.0120, Loss_G: 5.6884

Epoch [29/100] Loss_D: 0.0497, Loss_G: 5.5457

Epoch [29/100] Loss_D: 0.0241, Loss_G: 5.2107

Epoch [29/100] Loss_D: 0.0053, Loss_G: 6.2308

Epoch [29/100] Loss_D: 0.0112, Loss_G: 6.7686

Epoch [30/100] Loss_D: 0.0197, Loss_G: 3.9323

Epoch [30/100] Loss_D: 0.0066, Loss_G: 6.0396

Epoch [30/100] Loss_D: 0.0406, Loss_G: 8.0269

Epoch [30/100] Loss_D: 0.0111, Loss_G: 5.6470

Epoch [30/100] Loss_D: 0.0089, Loss_G: 5.9830

Epoch [31/100] Loss_D: 0.0419, Loss_G: 5.7550

Epoch [31/100] Loss_D: 0.0122, Loss_G: 6.0196

Epoch [31/100] Loss_D: 0.0037, Loss_G: 7.3425

Epoch [31/100] Loss_D: 0.0051, Loss_G: 7.2598

Epoch [31/100] Loss_D: 0.0188, Loss_G: 5.7274

Epoch [32/100] Loss_D: 0.0352, Loss_G: 5.4724

Epoch [32/100] Loss_D: 4.4536, Loss_G: 16.7689

Epoch [32/100] Loss_D: 0.0484, Loss_G: 5.1162

Epoch [32/100] Loss_D: 0.0154, Loss_G: 5.0421

Epoch [32/100] Loss_D: 0.0063, Loss_G: 5.5099

Epoch [33/100] Loss_D: 0.0123, Loss_G: 5.2485

Epoch [33/100] Loss_D: 0.0126, Loss_G: 5.6170

Epoch [33/100] Loss_D: 0.0029, Loss_G: 6.8363

Epoch [33/100] Loss_D: 0.0019, Loss_G: 7.0748

Epoch [33/100] Loss_D: 0.0051, Loss_G: 6.6976

Epoch [34/100] Loss_D: 0.0078, Loss_G: 5.3217

Epoch [34/100] Loss_D: 0.0059, Loss_G: 5.9125

Epoch [34/100] Loss_D: 0.0255, Loss_G: 4.5060

Epoch [34/100] Loss_D: 0.0125, Loss_G: 6.1525

Epoch [34/100] Loss_D: 0.0154, Loss_G: 5.2914

Epoch [35/100] Loss_D: 0.0150, Loss_G: 5.8484

Epoch [35/100] Loss_D: 0.0118, Loss_G: 4.3498

Epoch [35/100] Loss_D: 0.0381, Loss_G: 7.6806

Epoch [35/100] Loss_D: 0.0384, Loss_G: 5.5596

Epoch [35/100] Loss_D: 0.0373, Loss_G: 4.5512

Epoch [36/100] Loss_D: 0.0256, Loss_G: 5.4770

Epoch [36/100] Loss_D: 0.0162, Loss_G: 4.9427

Epoch [36/100] Loss_D: 0.0806, Loss_G: 5.7519

Epoch [36/100] Loss_D: 0.0566, Loss_G: 9.4657

Epoch [36/100] Loss_D: 0.0102, Loss_G: 5.4635

Epoch [37/100] Loss_D: 0.0071, Loss_G: 6.0338

Epoch [37/100] Loss_D: 0.0174, Loss_G: 5.6605

Epoch [37/100] Loss_D: 0.0260, Loss_G: 4.3103

Epoch [37/100] Loss_D: 0.5869, Loss_G: 14.3317

Epoch [37/100] Loss_D: 0.0195, Loss_G: 6.3057

Epoch [38/100] Loss_D: 0.0276, Loss_G: 5.7577

Epoch [38/100] Loss_D: 0.0069, Loss_G: 5.0917

Epoch [38/100] Loss_D: 0.0068, Loss_G: 5.1311

Epoch [38/100] Loss_D: 0.0055, Loss_G: 5.9170

Epoch [38/100] Loss_D: 0.0347, Loss_G: 6.3497

Epoch [39/100] Loss_D: 0.0251, Loss_G: 4.1235

Epoch [39/100] Loss_D: 0.0070, Loss_G: 5.8419

Epoch [39/100] Loss_D: 0.0185, Loss_G: 5.5582

Epoch [39/100] Loss_D: 0.0018, Loss_G: 6.3088

Epoch [39/100] Loss_D: 0.0778, Loss_G: 4.8907

Epoch [40/100] Loss_D: 0.0303, Loss_G: 4.7392

Epoch [40/100] Loss_D: 0.0356, Loss_G: 5.2991

Epoch [40/100] Loss_D: 0.0411, Loss_G: 7.5888

Epoch [40/100] Loss_D: 0.0084, Loss_G: 5.1456

Epoch [40/100] Loss_D: 0.0037, Loss_G: 6.9026

Epoch [41/100] Loss_D: 0.0070, Loss_G: 5.7118

Epoch [41/100] Loss_D: 0.0149, Loss_G: 6.8663

Epoch [41/100] Loss_D: 0.0038, Loss_G: 6.2442

Epoch [41/100] Loss_D: 0.0024, Loss_G: 7.7660

Epoch [41/100] Loss_D: 0.0047, Loss_G: 5.9867

Epoch [42/100] Loss_D: 0.0028, Loss_G: 6.8772

Epoch [42/100] Loss_D: 0.0014, Loss_G: 6.8225

Epoch [42/100] Loss_D: 0.0015, Loss_G: 7.4271

Epoch [42/100] Loss_D: 0.0026, Loss_G: 7.4482

Epoch [42/100] Loss_D: 0.0111, Loss_G: 6.2868

Epoch [43/100] Loss_D: 0.1064, Loss_G: 10.4691

Epoch [43/100] Loss_D: 0.0189, Loss_G: 5.7968

Epoch [43/100] Loss_D: 0.3505, Loss_G: 4.2822

Epoch [43/100] Loss_D: 0.2001, Loss_G: 13.0959

Epoch [43/100] Loss_D: 0.0164, Loss_G: 4.7573

Epoch [44/100] Loss_D: 0.0099, Loss_G: 5.3231

Epoch [44/100] Loss_D: 0.0063, Loss_G: 5.2521

Epoch [44/100] Loss_D: 0.0362, Loss_G: 4.3835

Epoch [44/100] Loss_D: 0.0108, Loss_G: 5.0917

Epoch [44/100] Loss_D: 0.0041, Loss_G: 5.7598

Epoch [45/100] Loss_D: 0.0054, Loss_G: 5.9021

Epoch [45/100] Loss_D: 0.0047, Loss_G: 5.9522

Epoch [45/100] Loss_D: 0.0013, Loss_G: 7.7197

Epoch [45/100] Loss_D: 0.0093, Loss_G: 7.0375

Epoch [45/100] Loss_D: 1.4628, Loss_G: 18.8748

Epoch [46/100] Loss_D: 0.0062, Loss_G: 5.7810

Epoch [46/100] Loss_D: 0.0072, Loss_G: 5.6040

Epoch [46/100] Loss_D: 0.0038, Loss_G: 6.5007

Epoch [46/100] Loss_D: 0.0210, Loss_G: 7.1032

Epoch [46/100] Loss_D: 0.0032, Loss_G: 5.9892

Epoch [47/100] Loss_D: 0.0022, Loss_G: 7.0866

Epoch [47/100] Loss_D: 0.0222, Loss_G: 5.1683

Epoch [47/100] Loss_D: 0.0094, Loss_G: 5.2893

Epoch [47/100] Loss_D: 0.0055, Loss_G: 6.9508

Epoch [47/100] Loss_D: 0.0103, Loss_G: 6.0590

Epoch [48/100] Loss_D: 0.0223, Loss_G: 4.9346

Epoch [48/100] Loss_D: 0.0101, Loss_G: 4.9784

Epoch [48/100] Loss_D: 0.0124, Loss_G: 5.1750

Epoch [48/100] Loss_D: 0.0042, Loss_G: 6.6233

Epoch [48/100] Loss_D: 0.0913, Loss_G: 8.3318

Epoch [49/100] Loss_D: 0.0231, Loss_G: 4.5480

Epoch [49/100] Loss_D: 0.0188, Loss_G: 4.9767

Epoch [49/100] Loss_D: 0.0621, Loss_G: 4.3381

Epoch [49/100] Loss_D: 0.0243, Loss_G: 4.5345

Epoch [49/100] Loss_D: 0.0139, Loss_G: 5.4169

